Year,Id,State,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Or_Acellular_Pertussis,Tetanus_Toxoid_Reduced_Diphtheria_Toxoid_Acellular_Pertussis,One_Dose_Meningococcal_Conjugate,One_Dose_Human_Papilloma_Virus_Female,Two_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Female,Three_Dose_Human_Papilloma_Virus_Series_Completion_Female,One_Dose_Human_Papilloma_Virus_Male,Two_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Male,Three_Dose_Human_Papilloma_Virus_Series_Completion_Male
2011,29,Missouri,82.5(å±5.0),79.6(å±5.3),54.6(å±6.5),49.5(å±9.7),NA,30.8(å±9.0),70.1(å±15.2),NA,NA,NA,NA
2011,30,Montana,90.2(å±5.3),85.0(å±6.0),39.8(å±8.4),52.9(å±11.9),NA,39.8(å±12.1),78.6(å±11.7),NA,NA,NA,NA
2011,31,Nebraska,87.3(å±4.5),81.8(å±5.2),76.0(å±5.6),59.0(å±9.9),NA,32.6(å±8.6),59.8(å±14.2),14.2(å±8.1),NA,NA,NA
2011,32,Nevada,85.8(å±4.9),80.2(å±5.8),60.3(å±7.3),55.3(å±11.2),NA,30.9(å±10.2),60.7(å±16.5),NA,NA,NA,NA
2011,33,New Hampshire,97.2(å±1.7),95.0(å±2.4),80.6(å±5.2),65.8(å±7.7),NA,46.0(å±8.4),80.0(å±12.9),NA,NA,NA,NA
2011,34,New Jersey,91.9(å±3.1),78.9(å±5.0),85.9(å±4.2),55.5(å±8.1),NA,38.7(å±8.3),74.2(å±10.3),NA,NA,NA,NA
2011,35,New Mexico,87.9(å±4.7),81.3(å±5.1),64.8(å±6.0),58.1(å±8.6),NA,29.7(å±7.7),54.8(å±12.9),11.3(å±4.9),NA,NA,NA
2011,36,New York,93.4(å±2.0),88.5(å±2.5),74.9(å±3.8),46.6(å±5.9),NA,34.2(å±5.5),76.7(å±7.2),6.4(å±2.7),NA,NA,NA
2011,37,North Carolina,83.6(å±5.0),77.8(å±5.6),65.9(å±6.3),54.4(å±9.7),NA,32.3(å±9.6),65.4(å±16.0),NA,NA,NA,NA
2011,38,North Dakota,92.0(å±4.8),87.5(å±6.0),84.2(å±6.9),51.2(å±12.6),NA,27.8(å±10.3),55.3(å±18.5),NA,NA,NA,NA
2011,39,Ohio,79.0(å±5.1),72.7(å±5.5),66.0(å±6.0),45.5(å±8.5),NA,32.6(å±8.2),77.0(å±11.0),NA,NA,NA,NA
2011,40,Oklahoma,69.9(å±6.2),66.0(å±6.3),55.3(å±6.6),49.8(å±10.0),NA,27.7(å±8.7),63.1(å±15.5),8.9(å±4.9),NA,NA,NA
2011,41,Oregon,86.7(å±4.4),83.1(å±5.0),55.8(å±6.7),68.6(å±8.5),NA,38.5(å±10.0),58.3(å±13.8),NA,NA,NA,NA
2011,42,Pennsylvania,89.3(å±3.5),81.0(å±4.3),83.8(å±4.2),51.9(å±8.0),NA,41.0(å±7.7),83.6(å±6.6),8.5(å±3.6),NA,NA,NA
2011,44,Rhode Island,95.7(å±2.0),87.5(å±3.5),88.9(å±4.2),76.1(å±7.2),NA,56.8(å±9.2),80.5(å±10.8),24.6(å±6.7),NA,NA,NA
2011,45,South Carolina,67.0(å±6.7),59.4(å±7.0),55.4(å±6.9),38.7(å±10.6),NA,23.3(å±8.6),60.9(å±19.3),NA,NA,NA,NA
2011,46,South Dakota,57.8(å±10.4),54.4(å±10.3),37.4(å±9.5),58.1(å±13.8),NA,50.1(å±13.7),89.2(å±7.1),NA,NA,NA,NA
2011,47,Tennessee,75.8(å±5.7),67.6(å±6.4),63.3(å±6.4),46.0(å±9.4),NA,27.2(å±8.3),62.1(å±16.0),NA,NA,NA,NA
2011,48,Texas,88.4(å±2.6),80.7(å±3.4),79.1(å±3.9),48.8(å±6.7),NA,31.5(å±6.6),69.3(å±8.8),10.4(å±3.3),NA,2.4(å±1.4),37.4(å±18.2)
2011,0,US National,85.3(å±0.8),78.2(å±0.9),70.5(å±1.0),53.0(å±1.7),NA,34.8(å±1.6),70.7(å±2.3),8.3(å±1.0),NA,1.3(å±0.3),28.1(å±6.5)
2011,49,Utah,84.5(å±5.9),81.4(å±6.0),58.5(å±7.0),53.3(å±10.5),NA,20.4(å±7.0),41.8(å±14.9),NA,NA,NA,NA
